x,y,r
134,184,19
222,114,19
32,126,19
118,184,19
220,126,19
84,46,17
158,190,17
72,160,17
76,172,17
202,80,17
168,198,16
144,16,7
108,104,8
92,88,7
82,130,14
94,54,12
144,228,8
232,122,7
38,88,8
20,140,7
144,70,7
196,52,7
92,174,8
134,196,12
90,70,7
182,144,12
196,140,8
78,40,10
56,106,8
178,34,8
196,88,8
196,106,8
38,70,7
126,18,7
202,146,10
74,70,7
108,210,5
168,80,8
178,106,7
56,86,5
100,44,5
212,70,5
86,198,9
146,194,8
178,210,8
162,86,5
170,112,12
194,190,10
106,194,8
126,210,5
132,222,9
56,192,8
162,176,7
176,72,7
176,88,6
178,158,5
82,148,8
60,156,8
158,54,8
82,184,7
170,166,7
148,44,7
208,130,7
110,72,7
194,156,7
66,80,6
106,138,6
48,96,5
74,192,5
56,140,4
74,210,4
80,56,9
72,86,8
40,138,8
184,182,8
176,172,7
30,114,5
170,184,5
204,96,5
178,192,5
108,18,4
132,28,8
202,164,8
194,176,7
54,122,6
144,212,6
38,158,5
22,104,5
100,200,5
126,34,4
160,36,4
108,228,4
144,104,4
106,50,8
116,198,7
76,106,7
134,96,7
134,150,7
186,162,7
214,158,7
126,54,7
74,138,6
118,24,6
48,148,6
108,34,6
116,44,5
82,78,4
50,164,8
208,114,8
142,178,7
214,176,6
92,208,6
190,60,6
46,114,6
144,34,6
146,142,6
168,64,6
186,80,5
126,192,4
