x,y,r
146,152,8
134,154,17
116,152,16
82,86,8
208,154,10
146,86,10
106,44,10
168,174,7
168,90,7
42,148,10
122,236,7
120,108,15
42,108,9
104,108,8
168,152,9
142,214,9
112,204,16
136,160,14
106,86,10
230,134,10
104,152,8
144,176,9
188,174,8
188,132,7
138,144,14
20,126,10
80,172,7
102,194,7
62,106,9
76,92,10
124,172,10
60,172,9
90,82,12
52,118,10
162,80,9
70,120,8
80,194,7
104,174,9
210,112,8
166,194,8
82,130,7
124,216,7
122,194,7
132,204,7
190,112,7
126,66,6
170,110,5
96,116,8
190,90,7
112,160,7
210,134,7
104,132,7
70,138,8
84,108,8
182,124,8
138,100,8
200,124,7
146,110,8
126,94,6
180,100,5
84,64,8
114,184,7
156,184,7
52,136,8
72,162,7
126,130,5
66,88,5
116,54,7
60,126,6
190,154,6
200,146,6
222,146,6
