x,y,r
126,180,16
146,144,16
142,90,14
88,74,9
190,152,14
140,102,15
34,108,8
34,146,8
222,108,8
222,146,8
52,90,8
160,140,14
120,100,13
64,100,6
148,190,9
186,120,8
146,126,8
68,134,8
130,142,8
114,52,8
144,62,7
122,120,8
138,118,5
100,136,4
126,112,8
164,106,7
74,164,5
180,90,5
122,128,8
210,134,7
98,64,6
54,144,5
118,136,5
148,216,5
164,128,5
44,134,7
92,128,5
154,118,4
12,128,5
88,180,5
106,38,5
106,216,5
108,198,5
148,38,5
222,128,5
160,174,8
110,74,7
82,136,6
136,48,6
184,108,6
34,128,5
106,162,5
146,180,5
148,162,5
168,198,5
84,100,8
168,152,8
88,56,5
88,198,5
166,74,5
166,180,5
200,144,5
100,118,4
128,58,4
192,136,4
54,126,6
64,154,6
118,188,6
158,72,6
174,118,6
188,104,6
64,118,5
74,90,5
148,92,5
154,136,5
162,196,7
96,58,6
182,128,6
148,196,6
98,188,5
108,126,5
130,214,5
138,172,5
146,72,5
244,128,5
118,64,6
128,200,6
54,110,5
84,154,5
98,172,5
112,180,5
180,164,5
210,100,5
44,116,3
106,180,3
110,56,3
110,92,3
116,82,3
138,134,3
74,128,6
98,70,6
42,122,5
126,74,5
138,182,5
138,82,5
194,98,5
200,110,5
134,64,3
138,204,3
140,190,3
