x,y,r
106,200,11
22,178,12
78,76,15
18,204,9
236,66,12
210,68,11
160,70,9
208,42,9
156,146,8
156,100,14
28,24,13
182,92,9
186,176,8
170,58,12
74,204,9
132,172,9
22,228,8
80,22,8
132,228,8
184,144,8
24,120,11
24,94,9
128,120,9
184,204,9
104,172,9
184,18,9
132,200,8
184,70,8
184,124,12
78,228,12
100,94,10
134,96,9
238,172,9
236,204,8
238,40,8
232,122,8
62,186,12
156,120,9
102,226,8
38,56,11
118,86,11
76,46,9
234,148,9
156,44,7
76,148,9
130,70,9
144,80,9
74,174,8
106,146,8
52,48,8
160,168,11
182,228,9
146,106,8
210,122,8
48,206,8
134,20,8
196,32,11
238,226,9
182,42,8
212,178,8
62,214,12
28,48,9
210,200,9
134,46,8
80,118,9
222,186,8
106,118,8
130,148,8
146,56,9
168,104,9
142,136,8
74,94,7
234,18,6
56,26,7
