x,y,r
72,180,13
76,68,13
182,152,12
102,180,12
48,100,15
154,44,15
178,180,15
48,124,8
112,112,15
104,206,14
210,148,12
186,100,9
156,126,8
154,180,8
130,16,14
130,40,12
184,76,12
102,154,8
24,124,13
132,98,13
46,152,12
72,128,12
158,70,8
104,98,8
144,108,15
60,112,12
126,208,9
154,152,12
210,100,12
144,88,10
104,126,12
104,38,10
230,124,12
180,126,9
154,210,12
112,194,11
126,154,9
208,128,8
72,96,12
116,164,9
78,100,8
90,112,11
130,72,9
90,142,11
128,124,11
130,182,9
144,170,11
120,56,9
192,140,9
120,142,8
146,62,8
72,148,8
134,210,8
146,136,8
194,116,8
102,68,7
198,136,7
126,238,5
