x,y,r
198,108,12
180,162,12
38,70,12
164,124,9
180,126,16
160,70,14
200,52,10
178,88,14
36,146,8
90,92,8
94,182,14
200,178,14
72,214,8
74,146,8
90,160,8
110,182,8
146,218,8
178,34,8
178,146,8
214,110,8
214,182,8
218,146,8
56,52,8
146,74,8
198,70,14
74,88,13
200,200,10
74,106,8
108,218,8
110,38,8
36,106,8
146,106,9
76,178,9
88,196,9
232,124,9
214,70,8
182,54,12
58,88,9
70,74,9
88,50,9
178,182,9
202,164,9
56,72,7
146,92,9
58,164,9
160,200,9
92,128,8
108,142,8
180,106,8
124,124,8
200,124,8
72,162,8
162,88,8
58,124,8
162,180,7
196,92,9
76,50,9
56,180,7
128,164,8
124,196,8
72,198,8
92,144,7
110,162,7
180,198,7
144,162,9
216,90,7
154,152,5
146,182,6
22,124,5
124,20,5
124,88,5
124,232,5
172,80,5
190,80,5
208,98,5
90,72,7
108,90,7
146,198,7
172,44,5
190,98,5
