x,y,r
144,158,16
126,128,15
142,60,12
204,128,16
106,158,16
140,40,13
76,78,16
138,216,15
50,146,7
168,76,12
158,178,7
204,146,13
110,218,13
176,88,12
80,160,7
96,160,6
70,144,12
156,146,12
178,114,12
140,102,8
112,50,7
50,112,7
96,112,7
64,178,6
220,158,7
128,16,7
158,208,7
128,242,6
188,160,5
196,136,9
138,202,8
152,118,8
128,64,7
190,82,6
104,202,5
220,128,4
114,100,10
96,146,7
128,226,7
158,32,7
80,66,6
104,56,5
110,178,5
130,56,8
148,72,8
178,168,8
66,96,7
204,116,7
98,224,6
104,72,4
170,180,9
112,208,7
80,192,6
174,160,6
66,162,4
116,158,9
92,104,9
158,50,7
188,176,7
220,100,7
80,96,6
34,162,6
142,50,6
158,98,5
134,120,8
138,166,8
98,178,7
174,98,7
96,64,5
120,56,5
150,200,5
150,138,4
110,82,7
128,82,7
84,112,7
206,98,7
96,208,6
98,34,6
156,128,6
158,158,6
96,126,5
102,120,5
128,112,5
98,48,5
120,202,5
180,106,5
188,96,5
198,106,5
80,176,4
