x,y,r
140,52,19
170,74,17
76,158,19
96,178,19
110,74,17
186,164,17
206,114,19
188,92,17
182,110,19
96,140,19
150,150,17
94,72,16
72,88,15
86,90,18
166,182,14
174,146,8
62,108,14
116,48,13
194,146,8
88,122,13
130,146,9
148,204,13
172,106,8
132,84,7
78,196,19
80,56,17
122,164,14
52,110,11
108,192,10
86,106,7
180,198,19
108,84,9
212,148,7
206,140,10
160,100,10
194,86,8
216,108,8
172,86,8
108,168,7
150,126,7
130,42,6
150,166,8
110,62,7
128,102,7
24,124,6
134,168,8
126,230,7
150,84,7
192,106,6
118,198,5
172,120,9
54,134,8
140,198,7
64,146,7
108,202,8
194,126,8
152,186,7
46,146,6
108,104,6
88,166,5
104,146,8
128,190,7
64,126,7
152,106,7
152,64,6
