x,y,r
114,204,16
128,158,15
168,204,13
58,126,9
56,96,15
144,128,15
102,36,8
128,174,8
172,126,7
128,78,12
104,104,11
176,174,8
128,126,5
98,126,14
82,218,8
152,222,8
150,198,8
160,162,9
138,162,8
128,222,7
208,112,12
78,32,9
176,30,8
88,114,13
32,128,10
178,150,8
102,78,7
152,150,7
142,208,12
114,40,8
126,198,8
124,56,8
10,126,7
150,80,7
220,126,7
244,126,6
54,76,12
80,80,9
92,166,8
208,92,8
218,102,8
106,198,7
126,32,7
92,208,9
174,220,9
150,100,9
82,102,8
140,90,8
58,152,7
148,54,7
198,170,7
46,136,9
164,42,9
176,54,8
76,56,7
92,90,6
68,160,9
34,174,8
150,174,8
172,102,8
198,82,8
36,152,6
94,188,9
160,66,9
222,168,9
78,150,8
102,150,8
142,44,8
176,198,7
104,172,8
78,176,8
106,218,7
200,128,7
162,92,6
174,78,8
152,128,7
220,78,6
128,246,6
126,8,5
54,86,9
32,104,8
106,54,6
126,148,7
198,104,7
48,162,7
30,76,7
46,92,6
160,186,8
188,162,7
56,106,6
128,104,6
