x,y,r
228,128,8
108,128,8
128,28,8
128,226,8
208,108,8
108,206,8
208,148,8
88,88,9
88,168,9
188,88,8
108,48,8
188,148,8
188,168,8
88,68,8
88,128,8
128,108,8
128,148,8
148,108,8
148,128,8
188,108,8
168,88,9
128,188,8
108,108,8
168,168,9
148,68,8
148,186,8
68,108,8
88,186,8
148,48,8
128,88,8
108,68,8
108,186,8
88,108,8
168,148,8
148,206,8
168,188,8
68,148,6
108,148,8
48,128,6
148,88,8
148,168,8
28,128,8
128,128,6
208,128,6
100,142,11
168,68,8
48,108,5
156,76,10
126,206,7
110,168,7
88,146,7
128,46,7
148,148,5
116,178,7
168,110,7
108,88,6
68,168,5
104,120,10
144,100,10
168,128,6
68,88,5
188,128,5
48,148,5
68,128,5
