x,y,r
52,110,12
164,180,15
146,48,16
190,90,15
112,200,13
72,88,15
108,58,14
108,126,8
188,166,15
208,142,13
52,140,12
110,42,8
64,146,10
128,144,8
168,74,14
208,114,14
172,122,12
124,164,13
158,102,13
132,84,7
202,80,16
148,202,14
150,160,14
62,108,13
74,160,13
104,146,13
216,108,8
88,122,12
130,102,9
86,84,8
130,124,8
174,168,7
148,184,12
106,188,7
130,230,9
86,106,8
86,168,7
90,146,7
152,86,5
66,128,8
96,178,8
98,96,8
134,168,8
150,126,8
24,124,6
152,62,5
170,86,7
106,166,5
194,106,5
44,126,8
120,52,8
194,128,7
130,22,6
172,146,5
86,64,8
130,60,7
150,106,7
130,42,5
214,126,5
152,148,7
130,208,6
194,144,5
