x,y,r
186,150,15
150,36,10
172,36,10
172,218,9
150,58,10
194,104,10
150,212,14
172,104,10
40,80,9
150,82,9
148,126,9
150,148,8
38,126,8
108,172,10
106,36,9
128,194,9
88,126,8
128,100,8
56,104,14
150,168,13
84,196,10
64,150,9
82,82,8
128,82,6
156,142,12
42,104,9
86,174,8
86,218,8
128,218,6
172,172,11
62,82,6
108,150,5
86,60,11
140,94,11
214,104,9
106,220,8
128,62,7
32,116,14
106,80,10
172,130,10
194,150,10
148,102,8
172,194,8
190,172,8
168,58,8
106,56,8
98,156,11
106,194,10
62,126,9
214,172,6
168,150,12
52,158,11
98,70,11
192,80,8
216,80,8
102,108,10
214,128,8
116,162,6
42,172,6
56,94,10
188,126,10
150,192,7
202,92,10
46,148,8
196,126,7
216,150,7
182,162,6
84,36,6
128,14,4
128,238,4
172,82,10
94,184,10
162,184,10
88,104,8
106,124,8
234,128,5
184,92,8
88,150,8
150,220,7
62,170,6
204,160,6
22,126,4
164,126,6
128,148,5
