x,y,r
128,30,10
202,152,10
104,54,10
54,104,10
152,128,10
152,104,10
78,152,10
78,78,10
178,104,10
226,128,10
114,68,17
128,80,10
152,154,10
140,114,17
78,128,11
142,68,17
128,104,11
176,80,10
152,54,10
54,152,10
152,202,10
128,154,10
112,136,14
128,50,10
120,194,12
102,76,10
140,140,7
186,138,13
202,104,10
140,190,8
128,178,7
50,128,10
128,128,7
128,202,7
176,128,7
188,122,14
106,202,8
178,152,7
152,78,7
78,178,6
104,130,8
202,130,7
78,106,8
104,154,6
140,90,9
114,88,9
66,116,8
102,180,8
152,178,7
178,178,6
166,142,9
114,164,8
126,226,8
102,104,6
66,142,8
28,128,6
