x,y,r
126,208,19
40,144,19
210,112,19
46,116,17
48,102,17
76,200,10
206,138,17
136,44,17
220,98,9
92,66,17
140,210,17
214,132,15
204,106,15
32,102,10
198,78,9
188,156,16
112,44,15
174,200,9
100,196,9
220,150,10
222,124,10
196,126,7
40,130,15
170,82,10
148,198,9
88,88,11
170,168,10
56,76,10
94,182,10
118,38,12
126,52,8
162,44,14
34,152,10
198,148,8
98,224,8
160,128,15
182,92,10
126,96,10
124,30,6
126,222,6
90,206,9
92,48,8
60,152,7
56,124,6
114,212,7
194,172,6
184,66,9
34,124,5
152,222,5
128,160,12
46,88,9
124,198,7
148,52,5
100,56,4
176,54,4
