x,y,r
178,72,12
26,154,11
230,100,7
230,128,7
156,42,12
156,236,9
170,172,13
104,18,12
100,100,9
154,154,8
178,210,7
40,140,17
126,236,12
78,152,9
76,180,9
78,72,7
144,86,9
144,168,9
54,182,9
128,124,9
114,222,16
124,72,10
144,224,10
178,124,10
112,86,9
164,140,9
26,130,9
202,74,8
48,154,10
164,114,9
168,84,9
208,154,9
116,58,8
74,128,9
138,196,9
140,56,9
180,46,9
204,182,7
178,182,7
154,180,11
194,140,9
156,72,9
128,18,7
166,194,11
94,140,9
66,84,8
88,112,11
130,182,10
92,58,9
126,42,9
128,212,9
152,210,9
166,60,9
228,156,9
102,124,9
78,44,7
122,118,13
88,200,9
114,170,9
182,98,9
194,114,9
52,102,10
114,198,10
102,180,10
194,168,9
218,110,9
68,112,9
50,126,8
64,140,7
88,86,9
202,98,9
92,168,11
118,30,11
140,138,9
36,110,8
220,140,8
132,154,5
138,114,9
104,238,8
140,32,7
46,182,7
118,142,8
128,98,7
106,44,5
158,100,5
76,208,5
152,126,7
100,154,5
106,212,5
182,154,5
