x,y,r
148,164,19
94,128,17
140,190,19
150,200,14
128,172,18
110,174,16
112,156,17
128,186,17
162,94,19
140,116,17
128,28,11
158,58,16
90,48,9
118,86,15
122,158,14
168,48,9
172,94,16
164,114,13
60,100,12
142,134,12
50,160,10
112,142,12
180,126,12
138,100,8
208,168,7
226,130,10
150,80,14
168,188,8
86,102,12
96,106,10
130,224,6
74,144,5
138,156,8
100,120,12
90,202,5
148,108,9
148,88,7
204,90,9
58,154,8
158,138,8
166,130,5
76,126,6
188,166,6
112,126,4
180,144,8
102,192,8
194,100,7
202,108,7
52,142,6
94,66,6
90,162,6
124,80,8
50,102,7
100,134,6
