x,y,r
76,140,17
174,140,17
174,114,17
138,194,16
46,108,8
132,118,17
172,96,15
112,142,14
132,74,10
136,56,10
112,176,10
134,134,10
114,156,10
92,98,10
190,140,10
204,146,10
76,156,7
98,78,7
106,46,7
126,204,7
144,86,7
152,178,7
154,96,7
166,128,7
166,148,7
172,158,8
66,126,8
106,164,7
124,48,7
78,98,8
84,70,7
96,156,7
152,78,7
154,156,7
86,110,7
104,86,7
156,138,7
162,108,7
56,120,8
118,216,7
208,128,7
154,194,10
138,178,7
84,90,7
114,58,8
194,120,8
96,176,8
84,148,6
152,112,8
124,126,8
114,78,7
