x,y,r
138,66,19
128,218,9
222,120,15
114,120,13
154,120,14
58,162,10
112,160,12
128,36,9
128,198,9
170,92,7
82,74,9
174,74,9
118,68,8
104,92,7
104,164,7
84,92,7
138,118,5
162,170,8
216,110,8
128,74,8
138,138,7
194,144,7
94,170,8
138,80,7
60,144,7
116,100,6
106,74,5
126,92,10
162,138,9
116,80,7
38,108,7
138,154,7
116,190,6
92,136,8
94,114,8
150,130,8
198,90,7
106,112,6
14,128,9
48,116,8
128,58,7
86,162,6
138,190,6
168,162,6
40,128,5
196,162,8
206,116,7
116,138,7
128,126,7
150,180,7
154,54,7
150,112,6
174,142,6
184,156,8
72,118,7
204,136,6
150,144,6
58,92,5
172,130,8
48,134,7
82,112,7
116,174,6
106,144,6
60,110,5
