x,y,r
94,178,14
106,160,11
120,180,14
40,184,10
40,148,10
124,128,8
158,130,14
144,92,10
152,180,10
210,80,10
108,106,10
178,76,10
202,184,10
172,102,14
86,144,11
68,184,10
94,80,10
132,114,10
140,162,13
216,92,11
96,130,10
134,228,10
136,148,10
172,180,11
62,76,10
118,218,10
20,188,9
116,140,11
128,178,10
158,190,10
206,72,10
152,82,10
112,228,10
130,76,10
188,164,10
192,92,10
122,12,8
60,142,10
102,170,10
144,170,10
186,80,10
108,58,10
102,50,10
114,98,7
54,168,10
68,148,10
228,186,8
88,106,6
18,70,5
120,246,7
216,168,5
42,84,3
204,176,3
110,190,7
206,152,6
28,92,6
172,88,6
120,208,5
146,102,5
124,48,10
32,170,7
50,100,6
188,130,6
170,172,5
230,72,3
204,110,7
110,32,7
100,90,5
40,110,5
70,112,5
74,166,5
80,102,5
122,78,5
132,192,5
170,154,4
54,154,2
134,34,6
142,48,5
166,130,5
82,130,4
122,94,3
178,150,3
182,176,3
