x,y,r
190,162,14
128,34,10
160,138,16
96,118,15
64,166,13
102,176,15
138,64,15
160,112,15
142,152,13
152,204,8
160,80,14
142,98,13
164,182,13
66,122,8
52,108,12
100,80,12
20,120,9
102,138,12
186,100,12
114,62,13
182,120,8
190,144,8
96,68,11
76,100,9
52,116,8
190,92,8
76,136,8
88,146,7
132,224,6
120,152,7
86,124,5
100,94,8
122,176,8
202,142,7
92,188,7
210,110,6
66,148,5
80,158,9
210,150,7
130,202,5
120,100,6
150,168,6
110,166,5
108,202,5
130,110,5
158,102,5
178,156,5
136,136,8
144,190,8
68,86,7
80,176,6
140,80,6
40,148,5
100,156,5
118,134,5
128,144,5
118,194,7
90,166,5
112,186,5
150,74,5
170,130,4
120,78,7
88,88,5
130,164,5
42,106,5
108,144,5
