x,y,r
172,178,17
166,140,17
64,138,15
140,180,19
132,96,19
80,76,17
78,174,16
126,136,15
116,190,16
134,188,17
190,102,15
146,116,15
184,78,15
148,154,14
200,140,14
104,154,14
114,216,12
118,60,14
86,182,12
166,120,15
54,138,13
54,116,12
162,80,12
176,160,8
102,208,7
108,46,7
128,26,7
86,64,9
134,218,7
26,124,7
142,32,9
46,106,7
230,132,7
126,66,7
94,76,8
130,86,7
150,44,9
182,188,8
148,86,7
106,84,7
118,32,7
190,140,10
128,106,7
144,190,7
154,180,7
106,170,7
142,228,5
168,70,8
148,66,8
124,226,7
94,154,10
86,86,7
94,180,7
126,122,9
94,96,8
104,188,7
208,112,6
106,112,9
166,164,7
122,210,7
188,152,7
44,126,7
46,148,6
66,184,6
188,68,5
