x,y,r
106,104,10
116,92,16
152,200,10
140,68,16
82,80,11
130,128,7
106,128,6
152,106,6
152,128,10
198,104,7
130,152,6
82,104,11
152,80,6
176,152,6
82,128,6
94,166,15
176,128,6
174,82,7
106,80,6
36,128,5
106,176,5
82,152,6
128,80,6
222,128,5
128,104,6
190,116,8
84,174,7
176,106,7
140,164,6
152,154,5
114,120,11
60,152,6
164,116,6
152,176,7
70,138,7
58,104,5
104,152,5
154,60,7
140,188,6
106,58,5
126,56,5
116,190,8
128,178,5
130,224,5
198,152,5
96,92,8
198,128,8
94,142,6
118,70,6
128,32,5
106,200,5
142,118,5
