x,y,r
128,206,12
66,58,10
130,154,10
66,198,10
196,30,9
184,20,15
154,102,12
184,236,15
22,76,16
22,178,16
164,146,15
60,30,9
182,156,12
76,98,11
60,224,9
102,150,10
44,170,8
90,138,15
216,56,13
206,126,13
44,84,8
216,200,13
158,72,9
88,110,12
48,128,7
104,74,12
198,224,10
154,154,8
102,180,7
180,100,7
158,180,11
104,98,8
128,124,8
224,224,8
242,206,8
156,126,6
146,168,15
128,74,12
10,10,8
10,244,8
244,12,6
128,184,10
76,124,9
132,98,8
112,88,12
36,56,8
36,200,8
200,246,8
92,226,7
20,110,7
20,144,7
92,28,7
172,140,9
16,224,6
130,50,6
140,86,11
246,80,9
238,78,9
16,30,6
246,32,6
78,12,8
78,242,8
180,124,7
246,224,6
14,50,5
76,150,5
104,240,6
214,172,7
212,84,5
246,244,5
190,58,4
194,194,8
224,36,6
244,198,3
