x,y,r
140,130,16
80,126,15
96,168,13
46,156,8
102,132,12
126,38,12
154,184,12
170,162,12
124,82,14
64,86,12
78,98,12
136,208,12
164,142,12
174,118,12
116,208,11
96,208,9
144,224,7
128,194,9
78,158,7
158,70,7
176,190,7
116,188,12
128,70,12
170,98,9
124,16,7
46,100,9
128,202,9
158,52,7
70,90,5
176,98,9
158,174,8
148,162,7
126,156,6
182,90,5
182,164,5
116,146,8
136,174,8
224,110,7
120,184,5
134,214,3
198,132,3
144,88,8
154,198,8
192,126,8
120,164,6
152,214,6
120,58,4
94,52,4
104,74,8
174,126,6
78,68,6
144,32,6
126,240,5
182,106,5
120,200,3
140,140,2
76,144,8
176,158,7
114,174,6
154,166,6
84,150,5
86,76,5
86,132,5
104,90,5
118,214,5
46,126,3
96,112,3
96,68,3
158,208,3
118,120,3
176,146,8
164,102,7
188,156,7
102,104,6
156,84,6
24,134,5
28,112,5
30,138,5
104,58,5
112,32,5
134,118,4
62,154,3
86,120,3
198,120,3
156,100,2
106,164,7
236,128,6
114,92,6
136,80,6
84,184,6
118,102,6
126,174,6
190,176,6
70,164,5
86,94,5
150,136,5
194,96,5
198,146,5
204,128,5
134,198,4
148,58,3
182,132,3
112,226,6
202,96,6
222,142,6
236,122,6
96,192,5
104,200,5
134,230,5
168,150,5
64,176,4
166,120,3
190,140,3
38,118,2
120,134,2
188,82,2
