x,y,r
110,98,13
128,210,7
214,124,7
126,110,7
122,58,12
74,92,8
160,74,9
90,126,5
170,150,8
108,126,7
90,144,5
126,40,3
90,160,8
38,126,7
198,106,7
144,176,6
172,116,5
108,108,7
164,160,6
198,142,6
188,116,5
106,144,7
146,194,7
96,168,6
162,144,6
98,152,5
100,100,5
74,144,8
130,194,7
124,92,6
64,152,5
154,168,5
162,124,5
74,160,4
108,178,8
110,76,7
56,144,5
66,134,5
82,134,5
118,82,5
154,152,5
180,106,5
190,152,5
74,124,6
144,156,6
152,116,6
56,110,6
108,58,5
100,84,4
170,98,4
146,54,4
180,90,4
180,142,6
82,100,5
100,134,5
126,126,5
82,152,4
162,176,4
106,196,3
116,68,6
130,176,6
156,82,6
178,122,6
128,158,5
74,108,4
90,108,3
