x,y,r
102,182,15
156,182,14
196,150,14
210,132,13
116,196,12
48,114,14
136,44,12
170,112,12
108,210,8
212,96,14
116,102,16
92,74,8
114,78,8
124,90,8
66,150,8
88,106,6
150,210,14
118,46,12
128,232,8
126,160,7
152,66,8
218,138,7
134,62,8
180,104,8
122,20,6
54,142,6
84,134,6
192,140,6
66,106,9
142,216,7
178,156,7
142,88,7
204,116,7
70,142,6
188,146,6
52,160,7
162,120,7
142,196,5
90,196,5
180,140,5
188,130,5
38,128,4
98,64,4
134,188,6
144,74,7
76,124,5
90,180,5
122,70,5
128,178,6
94,124,5
156,52,5
184,98,5
194,122,3
