x,y,r
88,162,15
182,238,8
64,206,15
64,104,15
116,114,8
126,64,14
100,128,13
126,100,12
76,178,8
214,166,8
146,192,12
150,62,8
182,12,8
160,36,9
96,156,9
52,178,8
224,94,8
52,74,8
42,62,8
138,158,7
184,74,8
130,122,8
148,104,8
160,96,8
246,76,7
62,146,8
86,44,8
148,164,8
118,56,7
74,12,5
42,166,8
180,32,8
182,156,8
182,176,8
192,44,8
160,74,8
54,156,7
74,198,7
192,126,6
42,102,12
182,216,7
74,218,6
158,52,6
106,184,8
30,180,7
34,158,7
52,200,6
204,198,6
130,86,8
192,64,7
76,32,7
42,186,6
98,96,6
74,156,8
138,114,7
138,136,7
50,96,6
140,176,7
74,136,5
116,158,5
202,114,5
196,164,9
40,86,8
106,146,8
104,46,7
74,118,7
116,136,7
62,126,6
148,84,6
214,84,6
8,74,4
62,164,8
82,144,8
168,124,8
128,186,6
162,116,6
32,198,5
96,136,5
116,94,5
182,114,5
224,156,5
