x,y,r
154,178,10
98,96,10
130,16,10
50,96,12
130,66,10
94,202,12
16,124,10
156,92,12
58,136,15
98,48,15
204,152,15
70,98,10
94,178,10
128,96,13
140,84,11
98,126,14
156,66,10
136,164,15
212,120,11
124,204,10
238,120,10
152,152,9
156,126,14
156,206,12
44,156,11
114,166,11
42,126,10
112,76,11
126,150,11
142,54,11
98,154,10
130,40,10
58,114,13
66,184,13
184,124,12
66,152,10
154,46,10
100,68,7
142,104,13
118,52,10
144,166,10
156,118,11
70,128,11
208,94,11
140,136,10
192,108,11
122,180,10
178,182,10
114,192,10
128,124,10
180,152,9
70,120,10
182,94,7
56,106,12
196,136,11
180,66,8
98,118,10
126,236,6
