x,y,r
128,128,10
80,34,10
56,174,10
128,222,7
104,34,10
128,10,10
128,246,10
56,152,9
138,44,16
32,174,10
198,104,9
80,174,7
46,138,15
80,152,9
152,198,9
174,80,7
104,58,9
174,152,9
104,80,9
174,58,9
222,80,10
152,152,9
68,140,7
152,102,9
150,34,9
174,176,8
222,176,8
56,124,8
152,178,8
128,178,9
198,172,8
80,80,7
34,130,8
172,198,8
128,80,7
246,128,6
134,64,12
82,128,8
104,152,8
178,128,8
104,220,7
116,210,7
128,198,7
84,104,9
126,34,9
198,78,8
128,58,7
128,104,9
106,104,8
152,84,8
152,218,7
56,82,7
80,220,6
174,34,6
170,104,9
76,58,9
104,172,8
68,116,7
106,126,8
148,128,8
212,116,8
218,104,8
32,104,7
30,150,8
114,116,8
114,46,8
226,152,8
150,60,7
222,126,7
104,198,6
198,150,5
140,208,8
208,140,8
128,148,7
140,162,8
58,104,8
198,128,7
174,220,7
10,128,5
84,198,7
