x,y,r
128,14,7
128,242,7
184,70,7
70,186,7
114,228,7
58,88,9
184,186,7
102,212,9
210,102,9
142,28,7
42,156,7
198,86,7
154,44,9
30,140,8
64,92,3
14,128,7
98,42,7
98,214,7
156,214,7
242,128,7
192,106,4
56,170,3
120,192,3
194,110,8
64,136,3
64,164,3
192,164,3
206,106,3
64,150,4
106,192,4
106,206,3
134,106,3
134,150,3
114,114,7
114,142,7
142,100,7
56,84,7
50,106,3
98,158,3
120,106,3
128,228,3
148,50,3
164,150,3
226,140,8
142,142,7
134,122,4
134,164,4
50,150,3
84,70,3
106,50,3
120,150,3
148,206,3
156,158,3
198,170,3
206,150,3
30,116,5
100,170,3
156,72,3
78,106,3
162,94,7
78,164,4
134,34,4
164,178,4
56,98,3
84,98,3
92,64,3
98,98,3
142,156,3
162,192,3
176,134,3
186,170,3
200,142,3
120,120,3
134,136,3
192,92,3
106,106,4
150,106,4
178,78,4
78,134,3
98,114,3
100,142,3
106,150,3
114,56,3
114,184,3
128,114,3
142,86,3
156,184,3
170,98,3
170,186,3
186,86,3
200,158,3
92,106,3
162,162,6
128,58,4
178,164,4
70,170,3
78,64,3
84,158,3
98,184,3
114,84,3
134,48,3
142,72,3
120,178,3
150,64,3
164,136,3
86,58,5
168,58,5
34,136,4
128,142,4
70,114,3
128,100,3
134,178,3
142,228,3
114,28,3
114,72,3
120,136,3
134,78,3
148,178,3
184,142,3
128,200,2
86,198,5
188,136,5
192,150,4
78,148,4
170,142,4
56,128,3
114,128,3
138,202,3
170,172,3
170,156,3
178,64,3
178,192,3
56,114,3
56,142,3
64,106,3
70,158,3
98,72,3
98,200,3
106,122,3
112,42,3
134,92,3
142,128,3
142,184,3
148,164,3
148,192,3
156,56,3
198,128,3
200,114,3
106,64,4
84,142,4
90,78,3
118,68,3
140,56,3
176,92,3
78,78,3
98,128,3
114,172,3
134,208,3
148,122,3
156,128,3
156,170,3
156,86,3
164,64,3
170,200,3
70,70,2
98,56,2
156,200,2
184,98,2
228,114,2
