x,y,r
114,24,10
88,108,10
146,188,10
38,144,10
130,124,10
70,162,11
128,68,15
66,80,9
96,190,9
118,110,9
242,242,11
108,124,11
40,108,10
104,68,8
138,30,10
118,86,9
182,178,11
144,136,9
118,54,8
134,176,8
120,162,7
158,68,7
78,68,7
170,134,7
90,82,6
206,208,14
82,174,13
180,96,8
172,56,7
54,124,7
130,202,7
132,42,6
94,162,6
156,148,7
120,216,6
104,148,13
148,108,10
154,174,6
68,112,6
144,162,5
194,84,5
22,130,10
80,122,7
132,14,11
92,138,6
168,82,6
108,174,7
168,160,6
104,94,6
192,162,6
44,136,5
148,82,5
132,96,6
140,212,6
222,144,6
182,122,6
66,132,5
118,136,5
196,132,3
